"ingestion_system","shop_count","total_offers","date"
"Legacy Monza Agent","2","7877765","2023-09-04"
"Feed Ingestion System (FIS)","1821","157081730","2023-09-05"
"Legacy Scraper","5753","18023965","2023-09-05"
"Legacy Agent","3929","60724820","2023-09-05"
"Search Engine Scraper","23","11750","2023-09-05"
"Legacy Monza Agent","2","7743737","2023-09-05"
"Feed Ingestion System (FIS)","1822","150794747","2023-09-06"
"Legacy Scraper","5752","18060395","2023-09-06"
"Legacy Agent","3928","60588534","2023-09-06"
"Search Engine Scraper","23","11767","2023-09-06"
"Legacy Monza Agent","2","7503078","2023-09-06"
"Feed Ingestion System (FIS)","1823","150957280","2023-09-07"
"Legacy Scraper","5752","17904673","2023-09-07"
"Legacy Agent","3926","60352829","2023-09-07"
"Search Engine Scraper","23","11761","2023-09-07"
"Legacy Monza Agent","2","7522810","2023-09-07"
"Feed Ingestion System (FIS)","1823","151111917","2023-09-08"
"Legacy Scraper","5753","17891611","2023-09-08"
"Legacy Agent","3925","60349676","2023-09-08"
"Search Engine Scraper","23","11758","2023-09-08"
"Legacy Monza Agent","2","7530208","2023-09-08"
"Feed Ingestion System (FIS)","1825","151815789","2023-09-09"
"Legacy Scraper","5752","17690977","2023-09-09"
"Legacy Agent","3926","60628049","2023-09-09"
"Search Engine Scraper","23","11793","2023-09-09"
"Legacy Monza Agent","2","7550508","2023-09-09"
"Feed Ingestion System (FIS)","1825","154311268","2023-09-10"
"Legacy Scraper","5752","17730183","2023-09-10"
"Legacy Agent","3926","60421952","2023-09-10"
"Search Engine Scraper","23","11795","2023-09-10"
"Legacy Monza Agent","2","7601757","2023-09-10"
"Feed Ingestion System (FIS)","1825","155753793","2023-09-11"
"Legacy Scraper","5752","17850497","2023-09-11"
"Legacy Agent","3926","60591621","2023-09-11"
"Search Engine Scraper","23","11794","2023-09-11"
"Legacy Monza Agent","2","7638791","2023-09-11"
"Feed Ingestion System (FIS)","1825","157561287","2023-09-12"
"Legacy Scraper","5751","17921167","2023-09-12"
"Legacy Agent","3925","60323012","2023-09-12"
"Search Engine Scraper","25","11947","2023-09-12"
"Legacy Monza Agent","2","7424529","2023-09-12"
"Feed Ingestion System (FIS)","1828","150486687","2023-09-13"
"Legacy Scraper","5750","17838514","2023-09-13"
"Legacy Agent","3923","60914645","2023-09-13"
"Search Engine Scraper","25","11930","2023-09-13"
"Legacy Monza Agent","2","7455311","2023-09-13"
"Feed Ingestion System (FIS)","1829","151084626","2023-09-14"
"Legacy Scraper","5750","17869297","2023-09-14"
"Legacy Agent","3923","60727594","2023-09-14"
"Search Engine Scraper","25","11924","2023-09-14"
"Legacy Monza Agent","2","7497984","2023-09-14"
"Feed Ingestion System (FIS)","1844","151970082","2023-09-15"
"Legacy Scraper","5750","17808234","2023-09-15"
"Legacy Agent","3905","60683877","2023-09-15"
"Search Engine Scraper","25","11943","2023-09-15"
"Legacy Monza Agent","2","7590646","2023-09-15"
"Feed Ingestion System (FIS)","1845","152992872","2023-09-16"
"Legacy Scraper","5750","17520022","2023-09-16"
"Legacy Agent","3904","59477280","2023-09-16"
"Search Engine Scraper","25","11970","2023-09-16"
"Legacy Monza Agent","2","7633829","2023-09-16"
"Feed Ingestion System (FIS)","1845","155401632","2023-09-17"
"Legacy Scraper","5750","17512001","2023-09-17"
"Legacy Agent","3904","59931957","2023-09-17"
"Search Engine Scraper","25","11971","2023-09-17"
"Legacy Monza Agent","2","7714506","2023-09-17"
"Feed Ingestion System (FIS)","1845","155932861","2023-09-18"
"Legacy Scraper","5750","17601694","2023-09-18"
"Legacy Agent","3904","60491701","2023-09-18"
"Search Engine Scraper","25","11647","2023-09-18"
"Legacy Monza Agent","2","7785846","2023-09-18"
"Feed Ingestion System (FIS)","1843","154233953","2023-09-19"
"Legacy Scraper","5751","17732634","2023-09-19"
"Legacy Agent","3904","61010174","2023-09-19"
"Search Engine Scraper","25","11654","2023-09-19"
"Legacy Monza Agent","2","8079255","2023-09-19"
"Feed Ingestion System (FIS)","1843","149167550","2023-09-20"
"Legacy Scraper","5746","17533466","2023-09-20"
"Legacy Agent","3896","60728141","2023-09-20"
"Search Engine Scraper","25","11668","2023-09-20"
"Legacy Monza Agent","2","8114714","2023-09-20"
