"ingestion_system","shop_count","total_offers","date"
"Legacy Agent","2476","40002202","2024-01-07"
"Legacy Monza Agent","1","45110","2024-01-07"
"Search Engine Scraper","11","212","2024-01-07"
"Feed Ingestion System (FIS)","3169","190664648","2024-01-08"
"Legacy Scraper","5704","11672946","2024-01-08"
"Legacy Agent","2475","40073194","2024-01-08"
"Legacy Monza Agent","1","45397","2024-01-08"
"Search Engine Scraper","12","2762","2024-01-08"
"Feed Ingestion System (FIS)","3167","192226807","2024-01-09"
"Legacy Scraper","5699","11556257","2024-01-09"
"Legacy Agent","2477","40171131","2024-01-09"
"Legacy Monza Agent","1","34964","2024-01-09"
"Search Engine Scraper","12","2762","2024-01-09"
"Feed Ingestion System (FIS)","3167","190653273","2024-01-10"
"Legacy Scraper","5699","11739797","2024-01-10"
"Legacy Agent","2471","40161772","2024-01-10"
"Legacy Monza Agent","1","84096","2024-01-10"
"Search Engine Scraper","14","2771","2024-01-10"
"Feed Ingestion System (FIS)","3173","186408279","2024-01-11"
"Legacy Scraper","5697","11602244","2024-01-11"
"Legacy Agent","2464","39978454","2024-01-11"
"Legacy Monza Agent","1","86167","2024-01-11"
"Search Engine Scraper","14","2769","2024-01-11"
"Feed Ingestion System (FIS)","3186","186351883","2024-01-12"
"Legacy Scraper","5696","11587769","2024-01-12"
"Legacy Agent","2450","36834880","2024-01-12"
"Legacy Monza Agent","1","95924","2024-01-12"
"Search Engine Scraper","14","2769","2024-01-12"
"Feed Ingestion System (FIS)","3205","190686232","2024-01-13"
"Legacy Scraper","5696","11898027","2024-01-13"
"Legacy Agent","2429","36247604","2024-01-13"
"Legacy Monza Agent","1","123488","2024-01-13"
"Search Engine Scraper","14","2767","2024-01-13"
"Feed Ingestion System (FIS)","3205","192583626","2024-01-14"
"Legacy Scraper","5696","11988322","2024-01-14"
"Legacy Agent","2429","36214142","2024-01-14"
"Legacy Monza Agent","1","174274","2024-01-14"
"Search Engine Scraper","14","2767","2024-01-14"
"Feed Ingestion System (FIS)","3205","194285539","2024-01-15"
"Legacy Scraper","5696","11893744","2024-01-15"
"Legacy Agent","2429","36135262","2024-01-15"
"Legacy Monza Agent","1","176156","2024-01-15"
"Search Engine Scraper","14","2767","2024-01-15"
"Feed Ingestion System (FIS)","3200","196567470","2024-01-16"
"Legacy Scraper","5696","11765385","2024-01-16"
"Legacy Agent","2429","36290755","2024-01-16"
"Legacy Monza Agent","1","124735","2024-01-16"
"Search Engine Scraper","14","2769","2024-01-16"
"Feed Ingestion System (FIS)","3204","191385690","2024-01-17"
"Legacy Scraper","5695","11747699","2024-01-17"
"Legacy Agent","2424","36319807","2024-01-17"
"Legacy Monza Agent","1","126267","2024-01-17"
"Search Engine Scraper","14","2769","2024-01-17"
"Feed Ingestion System (FIS)","3202","188033994","2024-01-18"
"Legacy Scraper","5694","11930900","2024-01-18"
"Legacy Agent","2427","36414278","2024-01-18"
"Legacy Monza Agent","1","87753","2024-01-18"
"Search Engine Scraper","14","2769","2024-01-18"
"Feed Ingestion System (FIS)","3205","188442057","2024-01-19"
"Legacy Scraper","5693","11918286","2024-01-19"
"Legacy Agent","2425","36316277","2024-01-19"
"Legacy Monza Agent","1","92533","2024-01-19"
"Search Engine Scraper","14","2769","2024-01-19"
"Feed Ingestion System (FIS)","3204","190550652","2024-01-20"
"Legacy Scraper","5693","11872820","2024-01-20"
"Legacy Agent","2425","36312798","2024-01-20"
"Legacy Monza Agent","1","105856","2024-01-20"
"Search Engine Scraper","14","2769","2024-01-20"
"Feed Ingestion System (FIS)","3204","192681025","2024-01-21"
"Legacy Scraper","5693","11896761","2024-01-21"
"Legacy Agent","2425","36429047","2024-01-21"
"Legacy Monza Agent","1","100146","2024-01-21"
"Search Engine Scraper","14","2769","2024-01-21"
"Feed Ingestion System (FIS)","3204","193916678","2024-01-22"
"Legacy Scraper","5693","11901552","2024-01-22"
"Legacy Agent","2425","36373754","2024-01-22"
"Legacy Monza Agent","1","99157","2024-01-22"
"Search Engine Scraper","14","2769","2024-01-22"
"Feed Ingestion System (FIS)","3204","193846370","2024-01-23"
"Legacy Scraper","5693","11929471","2024-01-23"
"Legacy Agent","2424","36390389","2024-01-23"
"Legacy Monza Agent","1","100846","2024-01-23"
"Search Engine Scraper","14","2767","2024-01-23"
"Feed Ingestion System (FIS)","3357","191489180","2024-01-24"
"Legacy Scraper","5689","12034186","2024-01-24"
"Legacy Agent","2275","35465337","2024-01-24"
"Legacy Monza Agent","1","102224","2024-01-24"
"Search Engine Scraper","14","2769","2024-01-24"
"Feed Ingestion System (FIS)","3353","189546141","2024-01-25"
"Legacy Scraper","5688","11979874","2024-01-25"
"Legacy Agent","2278","35149192","2024-01-25"
"Legacy Monza Agent","1","107807","2024-01-25"
"Search Engine Scraper","14","2767","2024-01-25"
"Feed Ingestion System (FIS)","3356","189415956","2024-01-26"
"Legacy Scraper","5687","11832196","2024-01-26"
"Legacy Agent","2274","35245037","2024-01-26"
"Legacy Monza Agent","1","107425","2024-01-26"
"Search Engine Scraper","14","2767","2024-01-26"
